T X
0 0
5.000000e-03 0
1.000000e-02 0
1.500000e-02 0
2.000000e-02 0
2.500000e-02 0
3.000000e-02 0
3.500000e-02 0
4.000000e-02 0
4.500000e-02 0
5.000000e-02 0
5.500000e-02 0
6.000000e-02 0
6.500000e-02 0
7.000000e-02 0
7.500000e-02 0
8.000000e-02 0
8.500000e-02 0
9.000000e-02 0
9.500000e-02 0
1.000000e-01 0
1.000000e-01 0
1.000000e-01 2.180154e-20
1.006647e-01 2.375733e-05
1.013295e-01 9.486586e-05
1.019942e-01 2.128469e-04
1.026589e-01 3.769107e-04
1.034708e-01 6.381600e-04
1.042827e-01 9.639171e-04
1.050000e-01 1.302898e-03
1.061516e-01 1.940413e-03
1.075537e-01 2.855939e-03
1.092753e-01 4.153862e-03
1.100000e-01 4.747005e-03
1.111483e-01 5.729010e-03
1.122966e-01 6.749085e-03
1.134449e-01 7.791540e-03
1.145932e-01 8.841406e-03
1.150000e-01 9.212645e-03
1.159425e-01 1.006618e-02
1.168851e-01 1.090558e-02
1.178276e-01 1.172498e-02
1.187702e-01 1.251941e-02
1.197127e-01 1.328480e-02
1.200000e-01 1.351183e-02
1.211550e-01 1.439291e-02
1.223100e-01 1.522134e-02
1.234650e-01 1.599584e-02
1.246200e-01 1.671699e-02
1.250000e-01 1.694287e-02
1.260899e-01 1.756126e-02
1.269115e-01 1.800000e-02
1.269115e-01 1.800000e-02
1.280015e-01 1.854899e-02
1.290914e-01 1.906467e-02
1.300000e-01 1.947271e-02
1.309086e-01 1.986423e-02
1.318172e-01 2.024230e-02
1.327257e-01 2.060990e-02
1.336343e-01 2.096985e-02
1.345429e-01 2.132474e-02
1.350000e-01 2.150209e-02
1.360947e-01 2.192563e-02
1.371894e-01 2.234972e-02
1.382842e-01 2.277667e-02
1.393789e-01 2.320799e-02
1.400000e-01 2.345495e-02
1.410559e-01 2.387863e-02
1.421118e-01 2.430678e-02
1.431677e-01 2.473856e-02
1.442236e-01 2.517268e-02
1.450000e-01 2.549247e-02
1.459750e-01 2.589354e-02
1.469500e-01 2.629265e-02
